DATUM,TOTALE_OMZET,weekday,month,week,year,quarter,day_of_year,weekday_sin,weekday_cos,month_sin,month_cos,week_sin,week_cos,is_weekend,is_monday,is_friday,is_wintervakantie,is_springvakantie,is_summervakantie,is_thanksgivingvakantie,is_schoolvakantie,is_feestdag,is_dag_na_feestdag
2017-12-26,2437.52,1,12,52,2017,4,360,0.7818314824680298,0.6234898018587336,-2.4492935982947064e-16,1.0,6.432490598706546e-16,1.0,0,0,0,1,0,0,0,1,0,1
2017-12-27,3625.64,2,12,52,2017,4,361,0.9749279121818236,-0.22252093395631434,-2.4492935982947064e-16,1.0,6.432490598706546e-16,1.0,0,0,0,1,0,0,0,1,0,0
2017-12-28,15352.890000000001,3,12,52,2017,4,362,0.43388373911755823,-0.900968867902419,-2.4492935982947064e-16,1.0,6.432490598706546e-16,1.0,0,0,0,1,0,0,0,1,0,0
2017-12-29,29241.68,4,12,52,2017,4,363,-0.433883739117558,-0.9009688679024191,-2.4492935982947064e-16,1.0,6.432490598706546e-16,1.0,0,0,1,1,0,0,0,1,0,0
2017-12-30,110367.15,5,12,52,2017,4,364,-0.9749279121818236,-0.2225209339563146,-2.4492935982947064e-16,1.0,6.432490598706546e-16,1.0,1,0,0,1,0,0,0,1,0,0
2017-12-31,19470.579999999998,6,12,52,2017,4,365,-0.7818314824680299,0.6234898018587334,-2.4492935982947064e-16,1.0,6.432490598706546e-16,1.0,1,0,0,1,0,0,0,1,0,0
2018-01-01,58046.9,0,1,1,2018,1,1,0.0,1.0,0.49999999999999994,0.8660254037844387,0.12053668025532305,0.992708874098054,0,1,0,1,0,0,0,1,1,0
2018-01-02,47459.44,1,1,1,2018,1,2,0.7818314824680298,0.6234898018587336,0.49999999999999994,0.8660254037844387,0.12053668025532305,0.992708874098054,0,0,0,1,0,0,0,1,0,1
2018-01-03,24930.340000000004,2,1,1,2018,1,3,0.9749279121818236,-0.22252093395631434,0.49999999999999994,0.8660254037844387,0.12053668025532305,0.992708874098054,0,0,0,1,0,0,0,1,0,0
2018-01-04,28835.36,3,1,1,2018,1,4,0.43388373911755823,-0.900968867902419,0.49999999999999994,0.8660254037844387,0.12053668025532305,0.992708874098054,0,0,0,0,0,0,0,0,0,0
2018-01-05,28242.510000000002,4,1,1,2018,1,5,-0.433883739117558,-0.9009688679024191,0.49999999999999994,0.8660254037844387,0.12053668025532305,0.992708874098054,0,0,1,0,0,0,0,0,0,0
2018-01-06,26043.149999999998,5,1,1,2018,1,6,-0.9749279121818236,-0.2225209339563146,0.49999999999999994,0.8660254037844387,0.12053668025532305,0.992708874098054,1,0,0,0,0,0,0,0,0,0
2018-01-07,14625.52,6,1,1,2018,1,7,-0.7818314824680299,0.6234898018587334,0.49999999999999994,0.8660254037844387,0.12053668025532305,0.992708874098054,1,0,0,0,0,0,0,0,0,0
2018-01-08,35216.76,0,1,2,2018,1,8,0.0,1.0,0.49999999999999994,0.8660254037844387,0.23931566428755774,0.970941817426052,0,1,0,0,0,0,0,0,0,0
2018-01-09,43104.33,1,1,2,2018,1,9,0.7818314824680298,0.6234898018587336,0.49999999999999994,0.8660254037844387,0.23931566428755774,0.970941817426052,0,0,0,0,0,0,0,0,0,0
2018-01-10,20023.600000000002,2,1,2,2018,1,10,0.9749279121818236,-0.22252093395631434,0.49999999999999994,0.8660254037844387,0.23931566428755774,0.970941817426052,0,0,0,0,0,0,0,0,0,0
2018-01-11,37266.72,3,1,2,2018,1,11,0.43388373911755823,-0.900968867902419,0.49999999999999994,0.8660254037844387,0.23931566428755774,0.970941817426052,0,0,0,0,0,0,0,0,0,0
2018-01-12,41520.19,4,1,2,2018,1,12,-0.433883739117558,-0.9009688679024191,0.49999999999999994,0.8660254037844387,0.23931566428755774,0.970941817426052,0,0,1,0,0,0,0,0,0,0
2018-01-13,45278.74,5,1,2,2018,1,13,-0.9749279121818236,-0.2225209339563146,0.49999999999999994,0.8660254037844387,0.23931566428755774,0.970941817426052,1,0,0,0,0,0,0,0,0,0
2018-01-14,75833.55,6,1,2,2018,1,14,-0.7818314824680299,0.6234898018587334,0.49999999999999994,0.8660254037844387,0.23931566428755774,0.970941817426052,1,0,0,0,0,0,0,0,0,0
2018-01-15,113630.87000000001,0,1,3,2018,1,15,0.0,1.0,0.49999999999999994,0.8660254037844387,0.3546048870425356,0.9350162426854148,0,1,0,0,0,0,0,0,1,0
2018-01-16,32426.41,1,1,3,2018,1,16,0.7818314824680298,0.6234898018587336,0.49999999999999994,0.8660254037844387,0.3546048870425356,0.9350162426854148,0,0,0,0,0,0,0,0,0,1
