rapportagedatum,totale_omzet,lag_1d,lag_7d,lag_14d,lag_28d,rolling_mean_7d,rolling_mean_28d,weekday,month,week,year,quarter,day_of_year,weekday_sin,weekday_cos,month_sin,month_cos,week_sin,week_cos,is_weekend,is_monday,is_friday,is_voorjaarvakantie,is_meivakantie,is_zomervakantie,is_herfstvakantie,is_kerstvakantie,is_schoolvakantie,is_feestdag,is_dag_na_feestdag,cumulative_revenue_ytd,contractual_consumption_rate,time_index
2023-01-26,526489.04,455051.73,561705.72,540395.17,381507.58,386984.6471428572,366530.79107142857,3,1,4,2023,1,26,0.43388373911755823,-0.900968867902419,0.49999999999999994,0.8660254037844387,0.4647231720437685,0.8854560256532099,0,0,0,0,0,0,0,0,0,0,0,9985372.81,0.06924123039022206,390
2023-01-27,403055.02,526489.04,397423.74,424978.57,301806.85,381953.69285714295,371708.7003571429,4,1,4,2023,1,27,-0.433883739117558,-0.9009688679024191,0.49999999999999994,0.8660254037844387,0.4647231720437685,0.8854560256532099,0,0,1,0,0,0,0,0,0,0,0,10388427.83,0.07203612107991235,391
2023-01-28,124744.12,403055.02,127025.5,129890.37,120663.95,382758.1614285714,375324.70642857143,5,1,4,2023,1,28,-0.9749279121818236,-0.2225209339563146,0.49999999999999994,0.8660254037844387,0.4647231720437685,0.8854560256532099,1,0,0,0,0,0,0,0,0,0,0,10513171.95,0.07290112998014042,392
2023-01-29,133658.71,124744.12,127738.02,129295.35,123840.05,382432.25,375470.4267857143,6,1,4,2023,1,29,-0.7818314824680299,0.6234898018587334,0.49999999999999994,0.8660254037844387,0.4647231720437685,0.8854560256532099,1,0,0,0,0,0,0,0,0,0,0,10646830.66,0.07382795501800998,393
2023-01-30,471478.16,133658.71,486277.77,494763.96,355038.84,383278.0628571428,375821.0932142857,0,1,5,2023,1,30,0.0,1.0,0.49999999999999994,0.8660254037844387,0.5680647467311558,0.8229838658936564,0,1,0,0,0,0,0,0,0,0,0,11118308.82,0.07709730995564681,394
2023-01-31,537130.9,471478.16,553670.05,551814.68,460709.02,381163.83285714284,379979.64035714284,1,1,5,2023,1,31,0.7818314824680298,0.6234898018587336,0.49999999999999994,0.8660254037844387,0.5680647467311558,0.8229838658936564,0,0,0,0,0,0,0,0,0,0,0,11655439.72,0.08082191845092114,395
2023-02-01,445683.66,537130.9,455051.73,475800.05,398899.48,378801.09714285715,382708.99321428576,2,2,5,2023,1,32,0.9749279121818236,-0.22252093395631434,0.8660254037844386,0.5000000000000001,0.5680647467311558,0.8229838658936564,0,0,0,0,0,0,0,0,0,0,0,12101123.38,0.0839124074662449,396
2023-02-02,531924.76,445683.66,526489.04,561705.72,495006.8,377462.80142857146,384379.8567857143,3,2,5,2023,1,33,0.43388373911755823,-0.900968867902419,0.8660254037844386,0.5000000000000001,0.5680647467311558,0.8229838658936564,0,0,0,0,0,0,0,0,0,0,0,12633048.14,0.08760091520233447,397
2023-02-03,427427.29,531924.76,403055.02,397423.74,386042.97,378239.33285714284,385698.3553571429,4,2,5,2023,1,34,-0.433883739117558,-0.9009688679024191,0.8660254037844386,0.5000000000000001,0.5680647467311558,0.8229838658936564,0,0,1,0,0,0,0,0,0,0,0,13060475.43,0.09056480969331625,398
2023-02-04,131436.77,427427.29,124744.12,127025.5,127617.49,381721.08571428567,387176.3667857143,5,2,5,2023,1,35,-0.9749279121818236,-0.2225209339563146,0.8660254037844386,0.5000000000000001,0.5680647467311558,0.8229838658936564,1,0,0,0,0,0,0,0,0,0,0,13191912.2,0.0914762272083641,399
2023-02-05,129199.46,131436.77,133658.71,127738.02,128694.47,382677.1785714286,387312.7696428571,6,2,5,2023,1,36,-0.7818314824680299,0.6234898018587334,0.8660254037844386,0.5000000000000001,0.5680647467311558,0.8229838658936564,1,0,0,0,0,0,0,0,0,0,0,13321111.66,0.09237213062092305,400
2023-02-06,497386.36,129199.46,471478.16,486277.77,505305.16,382040.14285714284,387330.80500000005,0,2,6,2023,1,37,0.0,1.0,0.8660254037844386,0.5000000000000001,0.6631226582407952,0.7485107481711011,0,1,0,0,0,0,0,0,0,0,0,13818498.02,0.09582113990690823,401
2023-02-07,546986.12,497386.36,537130.9,553670.05,566135.63,385741.3142857143,387047.9907142857,1,2,6,2023,1,38,0.7818314824680298,0.6234898018587336,0.8660254037844386,0.5000000000000001,0.6631226582407952,0.7485107481711011,0,0,0,0,0,0,0,0,0,0,0,14365484.14,0.09961408711837781,402
